Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
상단탭 B,,장르,샷구성,,포즈 구도,표정,조명,,색채,분위기,카메라&렌즈,,렌즈종류,렌즈기법/포커스,필름 톤,구도,시점/관점,품질 & 디테일,렌더링,배경 디테일,카메라무빙,효과,오디오
,,Portrait Photography (Indoor)(인물 사진 (실내)),샷 크기,"Extreme Close-Up (눈, 입술, 손끝 등 특정 부위를 아주 가깝게 확대. 극도의 긴장감을 주거나, 결정적인 단서를 보여줄 때 사용하는 임팩트 강한 샷)",portrait (초상화),Smiling (미소),기본조명,Soft Light (광원을 확산시켜 부드럽고 균일한 빛을 만드는 기법. 그림자가 연하고 피부 결점을 덜 드러내어 인물 촬영에 많이 사용됨),Soft color (부드러운 색상),Moody (무디),인물,"Sony A7R V + 85mm f/1.4 GM(피부 톤 재현이 자연스럽고, 아웃포커싱이 부드럽게 녹아내리는 느낌)","Wide Angle Lens (사람의 시야보다 훨씬 넓은 범위를 담아냅니다. 가까이 있는 피사체는 더 크게, 배경은 더 멀리 보이게 하여 원근감을 과장시킵니다. 광활한 풍경이나 역동적인 액션 장면에 필수적)",Bokeh (초점이 벗어난 하이라이트가 둥글게 번짐),"Portra 400 (피부톤, 자연)","Rule of Thirds (화면을 가로세로 3등분 하여, 그 교차점에 인물이나 눈을 배치하는 가장 기본적이고 안정적인 구도입니다. 자연스럽고 균형 잡힌 느낌)",First-Person POV (캐릭터의 눈을 통해 세상을 바라보는 주관적 시점. 관객이 직접 그 상황에 있는 듯한 몰입감과 긴장감을 극대화),8K (7680×4320급 초고해상도),"Unreal Engine (언리얼 엔진 실시간이지만 영화급 라이팅, 다이내믹한 콘트라스트)",rich details (풍부한 디테일),"Pan Right (오른쪽 팬/카메라는 고정된 상태에서 헤드만 좌우로 회전하며 촬영. 빠르게 지나가는 피사체를 따라가거나, 광활한 파노라마 풍경을 훑어보듯 보여줄 때 사용)","Motion Blur (피사체나 배경의 움직임을 흐릿하게 표현하여 속도감을 줍니다. 셔터 스피드를 느리게 했을 때 생기는 효과로, 빠르게 달리는 자동차나 휘두르는 주먹의 궤적을 보여줌)",
,,Portrait Photography (Outdoor)(인물 사진 (야외)),,"Close-Up (미세한 눈떨림, 입모양 등 섬세한 감정선을 강조하여 관객을 인물의 내면으로 깊숙이 끌어들이는 연출)",Side profile (측면 초상화),smiles lovingly (사랑스러운 미소),,Hard Light (광원이 작고 집중되어 선명한 그림자와 높은 대비를 만드는 조명. 극적인 효과나 질감 강조에 적합),Vibrant Colors (선명한 색상),Dreamy (몽환적),,"Canon EOS R5 + RF 50mm f/1.2L(실내 촬영에서 빛이 부족해도 여유롭고, 배경이 크림처럼 녹아 웨딩 촬영가들이 많이 선택하는 조합)",Standard 50mm (자연스러운 표준 렌즈),"Deep Focus (전경~배경 모두 선명, 환경과 인물 관계 강조)",Ektar 100 (선명·강채도),"Center Framing (피사체를 화면 정중앙에 배치합니다. 좌우 대칭이 완벽할수록 기이한 강박증이나(웨스 앤더슨 스타일), 종교적인 엄숙함, 혹은 인물의 확고한 의지를 보여줌)","Body Cam (경찰, 군인, 익스트림 스포츠 선수의 몸에 부착된 카메라 시점입니다. 거친 흔들림, 광각 왜곡, 화면의 노이즈가 어우러져 현장에 있는 듯한 리얼한 긴박감)",4K (3840×2160),Octane Render (옥테인 렌더 강한 하이라이트 + 딥한 그림자 + 선명한 광택),simple background (심플한 배경),"Pan Left (왼쪽 팬/카메라는 고정된 상태에서 헤드만 좌우로 회전하며 촬영. 빠르게 지나가는 피사체를 따라가거나, 광활한 파노라마 풍경을 훑어보듯 보여줄 때 사용)",Speed Ramp (영상 재생 속도를 구간별로 부드럽게 변화시키는 편집 기법이야. 느리게(Slow) → 빠르게(Fast) → 다시 느리게 식으로 속도를 ‘램프(ramp)’처럼 조절해),
,,Landscape Photography(풍경 사진),,Medium Close-Up (미디엄 클로즈업),upper body (상반신),glossy smile (윤기 나는 미소),,Natural Light (자연광),Muted Colors (차분한 색상),Ethereal (에테리얼),,Nikon Z8 + 85mm f/1.2 S(3D 추적 AF와 결합하면 움직이는 피사체도 놓치지 않아. 역광에서의 플레어 억제력이 뛰어나),Portrait 85mm (인물 최적),Shallow DOF (흔히 '아웃포커싱'이라고 부릅니다. 인물만 선명하게 남기고 배경은 흐릿하게 뭉개버립니다. 복잡한 배경에서 인물을 분리해 내어 오직 주인공에게만 시선을 집중),Velvia 50 (초강채도),Golden Ratio (3분할보다 더 수학적으로 완벽하다는 피보나치 비율에 맞춰 피사체를 배치합니다. 인공적이지 않고 자연계에서 느껴지는 가장 아름답고 조화로운 흐름),"Fixed Perspective (카메라가 한 위치에 고정되어 움직이지 않는 정적인 촬영. 안정감과 객관적인 관찰자 시점을 제공하며, 연극 무대를 보는 듯한 느낌)",Ultra HD (4K 계열 마케팅 용어),V-Ray (자연광 기반 현실적인 톤),Muted solid colors (차분한 단식 배경),"Tilt Up (위로 틸트/카메라 고정된 상태에서, 헤드만 움직이는 기법. 높은 건물의 웅장함을 보여주거나 강조할 때 사용)","Slow Motion (고속 촬영 후 일반 속도로 재생하여 동작을 느리게 보여주는 기법. 찰나의 순간을 늘려 아름다움, 긴장감, 또는 감정적 임팩트를 극대화)",
,,Night Photography(야경 사진),,Medium Shot (인물의 허리나 가슴 위쪽을 프레임에 담는 샷. 표정과 제스처를 모두 보여주면서 적당한 거리감을 유지하는 가장 일반적인 대화 장면용 샷),full body (전신),subtle smile (미묘한 미소),,"Studio Light (전문 스튜디오에서 사용하는 인공 조명으로, 완벽하게 제어 가능한 조명 환경을 제공)",Monochromatic (단색),Gritty (그리티),풍경,Sony A7R V + 16-35mm f/2.8 GM II(고화소 바디에 광각 줌의 정석. 별 촬영부터 일출까지 다 커버해. 주변부 해상력이 중앙과 거의 차이가 없어서 대형 출력에도 문제없어),"Telephoto Lens (멀리 있는 피사체를 눈앞으로 당겨옵니다. 배경이 피사체 바로 뒤에 붙어 있는 것처럼 보여(압축 효과), 공간감은 사라지지만 피사체에 대한 몰입도는 최고조)","Rack Focus (초점이 앞에 있는 인물(A)에서 뒤에 있는 인물(B)로(혹은 반대로) 스윽 이동합니다. 영상에서는 대화의 주도권이 넘어가거나, 새로운 사건을 암시하는 아주 중요한 연출 기법)",Tri-X 400 (거친 흑백),"Leading Lines (도로, 복도, 울타리 등의 선들이 피사체를 향해 뻗어 있어, 관객의 시선을 주인공에게로 강제로 이끄는 구도입니다. 강력한 집중력과 입체감)","Invisible Observer (누군가가 몰래 지켜보는 듯한 은밀한 시점. 스릴러나 호러에서 긴장감을 조성하거나, 다큐멘터리적 객관성을 표현할 때 사용)",High Resolution (고해상도 일반 표현),Arnold Render (부드럽고 영화적인 톤),soft background blur (부드러운 배경 흐림),"Tilt Down (아래로 틸트/카메라 고정된 상태에서, 헤드만 움직이는 기법. 인물의 머리부터 발끝까지 훑어내려 스타일을 강조할 때 사용)",Film Grain (필름 그레인),
,,Sports/Action Photography(스포츠 / 액션),,Medium Long Shot (미디엄 롱 샷),Standing Pose (서 있는 포즈),Laughing (웃음),,"Ambient Light (전체적인 기본 조명으로, 공간 전체를 고르게 밝혀주는 배경 조명. 특정 방향 없이 부드럽게 퍼져 그림자가 약합니다)",Complementary Colors (보색),Minimalist (미니멀리스트),,"Nikon Z9 + 14-24mm f/2.8 S(극광각인데도 왜곡이 거의 없고, 필터 홀더 없이 후면 필터를 쓸 수 있어서 편리해. 역동적인 구름이나 파도를 담을 때 진가를 발휘하지)",Super Telephoto (극단 압축),"Soft Focus (초점은 맞았지만 전체적으로 뽀샤시하고 몽환적인 안개가 낀 듯한 느낌을 줍니다. 옛날 영화의 회상 장면이나, 꿈속, 혹은 천상계의 인물을 표현)",HP5 Plus (부드러운 흑백),"Frame within a Frame (창문, 문틀, 거울, 동굴 입구 등 화면 내의 구조물을 이용해 또 하나의 액자를 만듭니다. 관객이 몰래 훔쳐보는 듯한 느낌(관음적 시선)을 주거나 깊이감을 더함)","Depth Perspective (전경, 중경, 후경의 레이어를 강조하여 깊이감을 극대화하는 구도. 공간의 입체감과 거리감을 시각적으로 전달)",IMAX Quality (대형 스크린용 스케일감 강조),Cycles Render (중립적이면서도 자연스러운 리얼리즘),,Zoom Out (줌 아웃),"Bloom (밝은 광원 주변이 부드럽게 번지며 빛나는 효과. 몽환적이고 dreamy한 분위기를 만들거나, 신성하고 초월적인 순간을 표현할 때 사용)",
,,Product Photography(제품 사진),,Long Shot (롱 샷),Sitting Pose (앉은 포즈),Serious (진지한),,"Spotlight (특정 영역이나 대상에 집중적으로 비추는 강한 직접 조명으로, 드라마틱한 효과를 연출)",Analogous Colors (유사색),Dramatic (드라마틱),,Fujifilm GFX 100 II + 32-64mm f/4(중형 포맷의 압도적인 디테일. 1억 화소가 풍경의 모든 결을 담아내. 다이나믹 레인지가 넓어서 후보정 여유가 많아),"Macro Lens (근접 촬영 및 접사에 특화된 렌즈. 곤충, 꽃, 제품 디테일 등 작은 피사체를 크게 확대하여 섬세한 질감을 표현)","Split Diopter (렌즈 앞에 특수 유리를 덧대어, 바로 앞의 물체와 아주 먼 배경을 동시에 초점이 맞게 찍는 기이한 기법입니다. 물리적으로 불가능한 심도를 만들어내어 긴장감과 불안감을 조성)",CineStill 800T (네온·야간),"Negative Space (피사체를 한쪽 구석에 아주 작게 몰아넣고, 나머지 공간을 텅 비웁니다(하늘, 벽 등). 인물의 고독, 외로움, 사색, 혹은 압도적인 공허함을 표현)","Vanishing Point (모든 선이 하나의 소실점으로 모이는 원근법 구도. 도로, 복도, 철로 등에서 강렬한 깊이감과 방향성을 만듦)",Photorealistic (사진처럼 사실적),Redshift (선명하고 상업적 비주얼),,Zoom In (줌 인),Light Leaks (필름 카메라에서 빛이 새어 들어가며 생기는 붉은색·주황색·무지개빛 번짐 효과를 재현한 포스트 프로세싱 효과),
,,Food Photography(음식 사진),,Extreme Long Shot (익스트림 롱 샷),Walking Pose (걷는 포즈),Confident (자신감 있는),,"High Key Lighting (전체적으로 밝고 그림자가 거의 없는 조명. 밝고 경쾌한 분위기, 패션이나 뷰티 촬영에서 자주 사용)",Warm Tones (따뜻한 톤),Nostalgic (노스탤직),스트리트,Leica M11 + Summicron 35mm f/2(35mm의 자연스러운 화각. 거리에서 눈에 띄지 않고 순간을 포착할 수 있어),"Fisheye Lens (물고기의 눈처럼 180도에 가까운 시야를 둥글게 왜곡하여 표현하는 기법. 인터폰이나 CCTV 화면처럼 기괴하거나, 90년대 뮤직비디오처럼 힙하고 유머러스한 느낌을 살릴때 사용)","Lens Flare (광원에서 빛 번짐, 감성·스케일 강조)",Polaroid (폴라로이드),"Diagonal Composition (피사체나 배경의 선을 대각선으로 배치합니다. 수평/수직 구도보다 훨씬 역동적이고 불안정하며, 에너지가 폭발하거나 어딘가로 굴러떨어질 것 같은 긴장감)","Mirror Reflection (거울, 유리, 수면 등의 반사를 통해 피사체를 보여주는 기법. 이중성, 자아 성찰, 또는 숨겨진 진실을 암시하는 상징적 효과)",HDR (밝은 영역과 어두운 영역을 모두 표현)," cel shading (그림자 단계를 분리, 만화/애니 느낌, 윤곽선 강조)",,Follow Shot (카메라가 피사체를 따라가며 촬영하는 무빙),"Haze (공기 중의 미세한 입자(연무, 습기, 먼지 등)로 인해 빛이 퍼지고 대비가 낮아지는 효과)",
,,Concerts/Performances(콘서트 / 공연),,"Wide Shot (피사체와 주변 환경을 넓게 담아내는 샷. 인물의 위치와 공간의 관계를 보여주며, 장면의 전체적인 맥락과 분위기를 설정할 때 사용)",Running Pose (달리는 포즈),Mysterious (신비로운),,Low Key Lighting (어두운 배경에 피사체의 일부만 밝히는 조명. 신비롭고 극적인 분위기 연출에 효과적),Cool Tones (차가운 톤),Melancholic (향수 어린),,Ricoh GR IIIx(40mm 환산 화각에 주머니에 들어가는 크기. 스냅 촬영의 끝판왕이야. APS-C 센서라 화질도 충분하고),"Anamorphic Lens (영화 특유의 가로로 긴 와이드 스크린 비율과, 타원형으로 찌그러진 보케(빛망울), 가로로 길게 뻗는 파란 렌즈 플레어가 특징입니다. '이건 영화다'라는 느낌을 가장 강하게 주는 렌즈)","Vignette (화면 가장자리 어둡게, 중심 강조 )",Kodachrome (클래식 컬러),Symmetry (대칭),Through Window (창문 너머),Hyperdetailed (극도로 세밀한 묘사),"realistic and hyper-detailed renderings (극사실주의, 피부·금속·텍스처 디테일 강조
, 상업·영화 수준)",,Stationary Camera (고정 카메라),Halation (필름 촬영에서 강한 빛이 필름 유제층을 통과해 반사되며 생기는 붉은 테두리(레드 글로우) 현상을 재현한 효과),
,,Milky Way/Star Photography(은하수 / 별 사진),,Extreme Wide Shot (익스트림 와이드 샷),Jumping Pose (점프 포즈),Thoughtful (생각에 잠긴),,Backlighting (조명 소스를 대상 뒤에 배치하여 대상 주변에 헤일로 효과를 만들고 구도에 깊이감을 부여하는 방법),Pastel Colors (파스텔 색상),Mysterious (신비로운),,Fujifilm X100VI(35mm 환산 화각의 고정 렌즈. 필름 시뮬레이션이 독보적이라 JPEG 바로 써도 돼. 클래식한 디자인이 피사체의 경계심을 낮춰주기도 해),Vintage Lens (빈티지 렌즈),"Tilt-Shift Effect (틸트-시프트 효과, 도시가 장난감처럼 보임)",Fujicolor Pro (쿨 파스텔),Asymmetry (비대칭),Through Door (문 너머),Crisp Details (또렷하고 날카로운 디테일),"soft painterly textures
(부드러운 회화적 질감)",,"Handheld (삼각대 없이 손으로 들고 찍어 화면이 흔들리는 기법. 다큐멘터리 같은 리얼함, 전쟁터의 긴박함, 혹은 인물의 불안하고 혼란스러운 심리를 날것 그대로 전달)","Glitch (디지털 오류처럼 보이는 화면 깨짐, RGB 분리, 노이즈 왜곡, 프레임 점프 등의 효과)",
